DATE,DONOR NAME,DONATION AMOUNT
9/1/2024,Anonymous,1000
9/2/2024,Anonymous,50
9/10/2024,Anonymous,25
9/6/2024,Anonymous,100
9/7/2024,Anonymous,5
9/7/2024,Anonymous,50
9/11/2024,Anonymous,5
9/13/2024,Anonymous,50
9/15/2024,Anonymous,100
9/15/2024,Anonymous,25
9/15/2024,Anonymous,30
9/15/2024,Anonymous,100
9/15/2024,Anonymous,25
9/17/2024,Anonymous,25
9/17/2024,Anonymous,40
9/18/2024,Anonymous,25
9/18/2024,Anonymous,50
9/18/2024,Anonymous,40
9/20/2024,Anonymous,100
9/24/2024,Anonymous,20
9/24/2024,Anonymous,50
9/25/2024,Anonymous,25
9/26/2024,Anonymous,100
9/30/2024,Anonymous,75
9/30/2024,Anonymous,20
1/0/1900,0,0
1/0/1900,0,0
1/0/1900,0,0
1/0/1900,0,0
1/0/1900,0,0
1/0/1900,0,0
1/0/1900,0,0
1/0/1900,0,0
1/0/1900,0,0
1/0/1900,0,0
1/0/1900,0,0
1/0/1900,0,0
1/0/1900,0,0
1/0/1900,0,0
1/0/1900,0,0
1/0/1900,0,0
1/0/1900,0,0
1/0/1900,0,0
1/0/1900,0,0
1/0/1900,0,0
1/0/1900,0,0
1/0/1900,0,0
1/0/1900,0,0
1/0/1900,0,0
1/0/1900,0,0
