DATE,DONOR NAME,DONATION AMOUNT
7/26/2024,Anonymous,69
7/27/2024,Steve Rogers,150.25
8/10/2024,Anthony Stark,3000
8/11/2024,Peter Parker,5.3
8/12/2024,Anonymous,700
1/0/1900,0,0
1/0/1900,0,0
1/0/1900,0,0
1/0/1900,0,0
1/0/1900,0,0
1/0/1900,0,0
1/0/1900,0,0
1/0/1900,0,0
1/0/1900,0,0
1/0/1900,0,0
1/0/1900,0,0
1/0/1900,0,0
1/0/1900,0,0
1/0/1900,0,0
1/0/1900,0,0
1/0/1900,0,0
1/0/1900,0,0
1/0/1900,0,0
1/0/1900,0,0
1/0/1900,0,0
1/0/1900,0,0
1/0/1900,0,0
1/0/1900,0,0
1/0/1900,0,0
1/0/1900,0,0
1/0/1900,0,0
1/0/1900,0,0
1/0/1900,0,0
1/0/1900,0,0
1/0/1900,0,0
1/0/1900,0,0
1/0/1900,0,0
1/0/1900,0,0
1/0/1900,0,0
1/0/1900,0,0
1/0/1900,0,0
1/0/1900,0,0
1/0/1900,0,0
1/0/1900,0,0
1/0/1900,0,0
1/0/1900,0,0
1/0/1900,0,0
1/0/1900,0,0
1/0/1900,0,0
1/0/1900,0,0
